HeadYaw,HeadPitch,LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,LWristYaw,LHand,LhipYawPitch/RhipYawPitch,LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,RWristYaw,RHand,CPU(Temp),Battery,Inertial_Gyroscope,Inertial_Angle,Inertial_Accelerometer,FSR_Left,FSR_Right,Action
[ 0.5   0.5   0.5   1.    0.52  0.5   0.  ],[ 0.57  0.59  0.61  1.    0.71  0.57 -0.03],[ 0.84  0.83  0.5   1.    0.54  0.5   0.01],[ 0.37  0.36  0.21  1.    0.34  0.19  0.02],[ 0.17  0.17  0.56  1.    0.53  0.5  -0.02],[ 0.37  0.38  1.    1.    1.    1.   -0.01],[ 0.5   0.51  0.5   1.    0.53  0.5  -0.02],[ 0.25  0.25  0.    1.    0.25  0.    0.  ],[ 0.61  0.61  0.94  1.    1.    0.61  0.  ],[ 0.32  0.33  0.32  1.    0.57  0.32 -0.  ],[ 0.34  0.34  0.97  1.    1.    0.76  0.  ],[ 0.36  0.36  0.15  1.    0.19  0.04  0.01],[ 0.4   0.4   0.86  1.    0.84  0.56  0.  ],[ 0.34  0.34  0.34  1.    0.59  0.34 -0.  ],[ 0.67  0.67  0.92  1.    0.92  0.68  0.  ],[ 0.34  0.33  1.    1.    1.    0.76  0.01],[ 0.36  0.36  0.3   1.    0.19  0.04  0.  ],[ 0.39  0.39  0.98  1.    0.83  0.56  0.  ],[ 0.65  0.66  0.66  1.    0.92  0.66 -0.  ],[ 0.65  0.65  0.53  1.    0.58  0.5  -0.03],[ 0.92  0.91  0.81  1.    0.92  0.81  0.01],[ 0.63  0.63  0.5   1.    0.53  0.5  -0.01],[ 0.33  0.32  0.04  1.    0.12  0.    0.01],[ 0.21  0.21  0.5   1.    0.53  0.5  -0.02],[ 0.24  0.25  0.    1.    0.25  0.   -0.  ],[56],"[-0.17000000178813934, 0.9900000095367432, 2.5]","[0.01091896090656519, 0.01091896090656519, 0.0]","[-0.028663937002420425, 0.46773654222488403, 0.0]","[5.556445598602295, -0.3640429973602295, -8.315507888793945]",,,moving hips
[ 0.5   0.5   0.5   1.    0.52  0.5   0.  ],[ 0.57  0.59  0.63  1.    0.67  0.57 -0.03],[ 0.84  0.83  0.5   1.    0.56  0.5   0.01],[ 0.37  0.36  0.22  1.    0.34  0.19  0.03],[ 0.17  0.17  0.5   1.    0.53  0.5   0.  ],[ 0.35  0.37  1.    1.    1.    1.   -0.02],[ 0.5   0.51  0.5   1.    0.53  0.5  -0.02],[ 0.25  0.25  0.    1.    0.25  0.    0.  ],[ 0.61  0.61  0.84  1.    0.8   0.61  0.  ],[ 0.32  0.32  0.32  1.    0.58  0.32 -0.  ],[ 0.44  0.44  0.91  1.    0.95  0.76  0.  ],[ 0.36  0.36  0.17  1.    0.18  0.04  0.  ],[ 0.4   0.39  0.74  1.    0.77  0.56  0.01],[ 0.34  0.34  0.34  1.    0.6   0.34 -0.  ],[ 0.67  0.67  0.68  1.    0.93  0.68  0.  ],[ 0.44  0.44  1.    1.    0.95  0.76  0.01],[ 0.36  0.36  0.27  1.    0.18  0.04  0.  ],[ 0.39  0.39  0.88  1.    0.76  0.56  0.  ],[ 0.65  0.65  0.74  1.    0.92  0.66  0.  ],[ 0.84  0.84  0.5   1.    0.54  0.5  -0.01],[ 0.63  0.64  0.86  1.    0.95  0.81 -0.03],[ 0.83  0.83  0.51  1.    0.53  0.5   0.02],[ 0.65  0.63  0.07  1.    0.11  0.    0.02],[ 0.5   0.49  0.5   1.    0.53  0.5   0.02],[ 0.24  0.25  0.    1.    0.25  0.   -0.  ],[56],"[0.40300002694129944, 1.0, 2.5]","[0.01091896090656519, 0.022104237228631973, 0.0]","[-0.02099401131272316, 0.24569255113601685, 0.0]","[3.630849838256836, -0.28740236163139343, -9.235196113586426]",,,moving hips
[ 0.5   0.5   0.5   1.    0.52  0.5   0.  ],[ 0.57  0.59  0.63  1.    0.71  0.57 -0.03],[ 0.84  0.83  0.5   1.    0.54  0.5   0.01],[ 0.37  0.36  0.26  1.    0.34  0.19  0.02],[ 0.17  0.17  0.5   1.    0.53  0.5   0.  ],[ 0.35  0.37  1.    1.    1.    1.   -0.02],[ 0.5   0.51  0.5   1.    0.53  0.5  -0.02],[ 0.25  0.25  0.    1.    0.25  0.    0.  ],[ 0.61  0.61  0.88  1.    0.83  0.61  0.  ],[ 0.32  0.32  0.32  1.    0.56  0.32 -0.  ],[ 0.34  0.34  0.9   1.    1.    0.76 -0.  ],[ 0.36  0.36  0.04  1.    0.18  0.04  0.01],[ 0.4   0.4   0.8   1.    0.82  0.56  0.  ],[ 0.34  0.34  0.34  1.    0.59  0.34  0.  ],[ 0.67  0.67  0.7   1.    0.93  0.68 -0.  ],[ 0.34  0.34  1.    1.    1.    0.76  0.  ],[ 0.36  0.36  0.24  1.    0.18  0.04  0.  ],[ 0.39  0.39  1.    1.    0.82  0.56  0.  ],[ 0.65  0.66  0.66  1.    0.93  0.66 -0.  ],[ 0.84  0.84  0.5   1.    0.53  0.5  -0.01],[ 0.63  0.64  0.85  1.    0.95  0.81 -0.03],[ 0.83  0.83  0.57  1.    0.53  0.5   0.02],[ 0.65  0.64  0.09  1.    0.1   0.    0.02],[ 0.5   0.49  0.5   1.    0.53  0.5   0.02],[ 0.24  0.25  0.    1.    0.25  0.   -0.  ],[57],"[0.20500001311302185, 1.0, 2.5]","[0.00532632227987051, 0.00532632227987051, 0.0]","[-0.02559596672654152, 0.45795708894729614, 0.0]","[5.4223246574401855, -0.30656251311302185, -8.305928230285645]",,,moving hips
[ 0.5   0.5   0.5   1.    0.52  0.5   0.  ],[ 0.57  0.59  0.63  1.    0.75  0.57 -0.03],[ 0.84  0.83  0.5   1.    0.53  0.5   0.01],[ 0.37  0.36  0.19  1.    0.33  0.19  0.02],[ 0.17  0.17  0.5   1.    0.53  0.5   0.  ],[ 0.35  0.37  1.    1.    1.    1.   -0.02],[ 0.5   0.51  0.5   1.    0.53  0.5  -0.02],[ 0.25  0.25  0.    1.    0.25  0.    0.  ],[ 0.61  0.61  0.91  1.    0.86  0.61 -0.  ],[ 0.32  0.32  0.32  1.    0.56  0.32 -0.  ],[ 0.34  0.34  0.9   1.    1.    0.76  0.  ],[ 0.36  0.36  0.28  1.    0.21  0.04  0.  ],[ 0.4   0.4   0.96  1.    0.85  0.56  0.  ],[ 0.34  0.34  0.34  1.    0.59  0.34 -0.  ],[ 0.67  0.67  0.81  1.    0.93  0.68  0.  ],[ 0.34  0.34  1.    1.    1.    0.76  0.  ],[ 0.36  0.36  0.32  1.    0.21  0.04  0.  ],[ 0.39  0.39  1.    1.    0.85  1.    0.  ],[ 0.65  0.66  1.    1.    0.93  0.66 -0.  ],[ 0.74  0.75  0.54  1.    0.57  0.5  -0.04],[ 0.63  0.64  0.84  1.    0.95  0.81 -0.03],[ 0.83  0.83  0.52  1.    0.53  0.5   0.02],[ 0.65  0.64  0.    1.    0.13  0.    0.02],[ 0.5   0.49  0.5   1.    0.53  0.5   0.02],[ 0.24  0.25  0.    1.    0.25  0.   -0.  ],[57],"[-0.09300000220537186, 1.0, 2.5]","[0.016511598601937294, -0.016511598601937294, 0.0]","[-0.025212589651346207, 0.4554646611213684, 0.0]","[5.498965263366699, -0.29698243737220764, -8.286767959594727]",,,moving rshoulderpitch
[ 0.5   0.5   0.5   1.    0.52  0.5   0.  ],[ 0.57  0.59  0.63  1.    0.75  0.57 -0.03],[ 0.84  0.83  0.5   1.    0.53  0.5   0.01],[ 0.37  0.36  0.19  1.    0.33  0.19  0.02],[ 0.17  0.17  0.5   1.    0.53  0.5   0.  ],[ 0.35  0.37  1.    1.    1.    1.   -0.02],[ 0.5   0.51  0.5   1.    0.53  0.5  -0.02],[ 0.25  0.25  0.    1.    0.25  0.    0.  ],[ 0.61  0.61  0.96  1.    0.86  0.61  0.  ],[ 0.32  0.32  0.32  1.    0.56  0.32  0.  ],[ 0.34  0.34  0.94  1.    1.    0.76  0.  ],[ 0.36  0.36  0.13  1.    0.22  0.04  0.  ],[ 0.4   0.4   0.98  1.    0.85  0.56  0.  ],[ 0.34  0.34  0.34  1.    0.58  0.34 -0.  ],[ 0.67  0.67  1.    1.    0.94  0.68  0.  ],[ 0.34  0.34  1.    1.    1.    0.76  0.  ],[ 0.36  0.36  0.32  1.    0.21  0.04  0.  ],[ 0.39  0.39  1.    1.    0.86  1.    0.  ],[ 0.65  0.66  0.66  1.    0.93  0.66 -0.  ],[ 0.64  0.65  0.57  1.    0.61  0.5  -0.06],[ 0.63  0.64  0.85  1.    0.95  0.81 -0.03],[ 0.83  0.83  0.5   1.    0.53  0.5   0.02],[ 0.65  0.64  0.    1.    0.14  0.    0.02],[ 0.5   0.49  0.5   1.    0.53  0.5   0.02],[ 0.24  0.25  0.    1.    0.25  0.   -0.  ],[60],"[-0.27400001883506775, 0.9900000095367432, 2.5]","[-0.01091896090656519, 0.01091896090656519, 0.0]","[-0.025404278188943863, 0.45623141527175903, 0.0]","[5.508544921875, -0.32572266459465027, -8.286767959594727]",,,moving rshoulderpitch
[ 0.5   0.5   0.5   1.    0.52  0.5   0.  ],[ 0.57  0.59  0.62  1.    0.75  0.57 -0.03],[ 0.84  0.83  0.5   1.    0.53  0.5   0.01],[ 0.37  0.36  0.23  1.    0.33  0.19  0.02],[ 0.17  0.17  0.5   1.    0.53  0.5   0.  ],[ 0.35  0.37  1.    1.    1.    1.   -0.02],[ 0.5   0.51  0.5   1.    0.53  0.5  -0.02],[ 0.25  0.25  0.    1.    0.25  0.    0.  ],[ 0.61  0.61  0.96  1.    0.86  0.61  0.  ],[ 0.32  0.32  0.32  1.    0.56  0.32 -0.  ],[ 0.34  0.34  0.94  1.    1.    0.76  0.  ],[ 0.36  0.36  0.12  1.    0.22  0.04  0.  ],[ 0.4   0.4   0.99  1.    0.85  0.56  0.  ],[ 0.34  0.34  0.34  1.    0.58  0.34 -0.  ],[ 0.67  0.67  0.99  1.    0.94  0.68  0.  ],[ 0.34  0.34  1.    1.    1.    0.76  0.  ],[ 0.36  0.36  0.34  1.    0.22  0.04  0.  ],[ 0.39  0.39  1.    1.    0.86  1.    0.  ],[ 0.65  0.66  0.66  1.    0.93  0.66 -0.  ],[ 0.64  0.65  0.57  1.    0.61  0.5  -0.06],[ 0.63  0.64  0.85  1.    0.95  0.81 -0.03],[ 0.83  0.83  0.57  1.    0.53  0.5   0.02],[ 0.65  0.63  0.08  1.    0.14  0.    0.02],[ 0.5   0.49  0.5   1.    0.53  0.5   0.02],[ 0.35  0.35  0.    1.    0.25  0.    0.  ],[60],"[-0.320000022649765, 0.9900000095367432, 2.5]","[0.00532632227987051, 0.00532632227987051, 0.0]","[-0.025787655264139175, 0.45661479234695435, 0.0]","[5.441484451293945, -0.31614258885383606, -8.305928230285645]",,,opening rhand
[ 0.5   0.5   0.5   1.    0.52  0.5   0.  ],[ 0.57  0.59  0.61  1.    0.75  0.57 -0.03],[ 0.84  0.83  0.5   1.    0.53  0.5   0.01],[ 0.37  0.36  0.21  1.    0.33  0.19  0.02],[ 0.17  0.17  0.5   1.    0.53  0.5   0.  ],[ 0.35  0.37  1.    1.    1.    1.   -0.02],[ 0.5   0.51  0.5   1.    0.53  0.5  -0.02],[ 0.25  0.25  0.    1.    0.25  0.    0.  ],[ 0.61  0.61  0.95  1.    0.87  0.61  0.  ],[ 0.32  0.32  0.32  1.    0.56  0.32  0.  ],[ 0.34  0.34  0.98  1.    1.    0.76  0.  ],[ 0.36  0.36  0.18  1.    0.22  0.04  0.  ],[ 0.4   0.4   0.99  1.    0.86  0.56  0.  ],[ 0.34  0.34  0.34  1.    0.58  0.34 -0.  ],[ 0.67  0.67  0.81  1.    0.94  0.68  0.  ],[ 0.34  0.34  1.    1.    1.    0.76  0.  ],[ 0.36  0.36  0.32  1.    0.21  0.04  0.  ],[ 0.39  0.39  1.    1.    0.86  1.    0.  ],[ 0.65  0.66  0.66  1.    0.93  0.66 -0.  ],[ 0.64  0.65  0.57  1.    0.61  0.5  -0.06],[ 0.63  0.64  0.84  1.    0.95  0.81 -0.03],[ 0.83  0.83  0.55  1.    0.53  0.5   0.02],[ 0.65  0.63  0.01  1.    0.14  0.    0.02],[ 0.5   0.49  0.5   1.    0.53  0.5   0.02],[ 0.45  0.45  0.    1.    0.25  0.    0.  ],[61],"[-0.3360000252723694, 0.9900000095367432, 2.5]","[-0.00532632227987051, -0.01091896090656519, 0.0]","[-0.02617150917649269, 0.4571903347969055, 0.0]","[5.431904315948486, -0.30656251311302185, -8.353828430175781]",,,opening rhand
[ 0.5   0.5   0.5   1.    0.52  0.5   0.  ],[ 0.57  0.59  0.61  1.    0.75  0.57 -0.03],[ 0.84  0.83  0.5   1.    0.53  0.5   0.01],[ 0.37  0.36  0.25  1.    0.33  0.19  0.02],[ 0.17  0.17  0.5   1.    0.53  0.5   0.  ],[ 0.35  0.37  1.    1.    1.    1.   -0.02],[ 0.5   0.51  0.5   1.    0.53  0.5  -0.02],[ 0.25  0.25  0.    1.    0.25  0.    0.  ],[ 0.61  0.61  0.94  1.    0.87  0.61  0.  ],[ 0.32  0.32  0.53  1.    0.56  0.32 -0.  ],[ 0.34  0.34  1.    1.    1.    0.76 -0.  ],[ 0.36  0.36  0.14  1.    0.22  0.04  0.  ],[ 0.4   0.4   0.99  1.    0.86  0.56  0.  ],[ 0.34  0.34  0.34  1.    0.59  0.34 -0.  ],[ 0.67  0.67  0.68  1.    0.93  0.68  0.  ],[ 0.34  0.34  1.    1.    1.    0.76  0.  ],[ 0.36  0.36  0.35  1.    0.22  0.04  0.  ],[ 0.39  0.39  1.    1.    0.86  1.    0.  ],[ 0.65  0.66  0.66  1.    0.93  0.66 -0.  ],[ 0.64  0.65  0.57  1.    0.61  0.5  -0.06],[ 0.63  0.64  0.84  1.    0.94  0.81 -0.03],[ 0.83  0.83  0.56  1.    0.53  0.5   0.02],[ 0.65  0.63  0.1   1.    0.14  0.    0.02],[ 0.5   0.49  0.5   1.    0.53  0.5   0.02],[ 0.55  0.55  0.    1.    0.25  0.    0.  ],[61],"[-0.42900002002716064, 0.9900000095367432, 2.5]","[-0.00532632227987051, -0.00532632227987051, 0.0]","[-0.025404278188943863, 0.4568069577217102, 0.0]","[5.412744522094727, -0.31614258885383606, -8.34424877166748]",,,opening rhand
[ 0.5   0.5   0.5   1.    0.52  0.5   0.  ],[ 0.57  0.59  0.63  1.    0.75  0.57 -0.03],[ 0.84  0.83  0.5   1.    0.53  0.5   0.01],[ 0.37  0.36  0.25  1.    0.33  0.19  0.02],[ 0.17  0.17  0.5   1.    0.53  0.5   0.  ],[ 0.35  0.37  1.    1.    1.    1.   -0.02],[ 0.5   0.51  0.5   1.    0.53  0.5  -0.02],[ 0.25  0.25  0.    1.    0.25  0.    0.  ],[ 0.61  0.61  0.92  1.    0.87  0.61 -0.  ],[ 0.32  0.32  0.32  1.    0.56  0.32  0.  ],[ 0.34  0.34  1.    1.    1.    0.76 -0.  ],[ 0.36  0.36  0.19  1.    0.22  0.04  0.  ],[ 0.4   0.4   1.    1.    0.86  0.56  0.  ],[ 0.34  0.34  0.34  1.    0.58  0.34  0.  ],[ 0.67  0.67  0.87  1.    0.94  0.68  0.  ],[ 0.34  0.34  1.    1.    1.    0.76  0.  ],[ 0.36  0.36  0.35  1.    0.22  0.04  0.  ],[ 0.39  0.39  1.    1.    0.87  1.    0.  ],[ 0.65  0.65  0.66  1.    0.93  0.66  0.  ],[ 0.64  0.65  0.56  1.    0.61  0.5  -0.06],[ 0.63  0.64  0.84  1.    0.94  0.81 -0.03],[ 0.83  0.83  0.52  1.    0.53  0.5   0.02],[ 0.65  0.63  0.    1.    0.14  0.    0.02],[ 0.5   0.49  0.5   1.    0.53  0.5   0.02],[ 0.65  0.65  0.    1.    0.25  0.    0.  ],[61],"[-0.4240000247955322, 0.9900000095367432, 2.5]","[0.0, 0.00532632227987051, 0.0]","[-0.025212589651346207, 0.4571903347969055, 0.0]","[5.479804992675781, -0.3544628918170929, -8.315507888793945]",,,opening rhand
[ 0.5   0.5   0.5   1.    0.52  0.5   0.  ],[ 0.57  0.59  0.61  1.    0.75  0.57 -0.03],[ 0.84  0.83  0.5   1.    0.53  0.5   0.01],[ 0.37  0.36  0.2   1.    0.33  0.19  0.02],[ 0.17  0.17  0.5   1.    0.53  0.5   0.  ],[ 0.35  0.37  1.    1.    1.    1.   -0.02],[ 0.5   0.51  0.5   1.    0.53  0.5  -0.02],[ 0.25  0.25  0.    1.    0.25  0.    0.  ],[ 0.61  0.61  0.91  1.    0.87  0.61 -0.  ],[ 0.32  0.32  0.38  1.    0.56  0.32 -0.  ],[ 0.34  0.34  1.    1.    1.    0.76 -0.  ],[ 0.36  0.36  0.11  1.    0.22  0.04  0.  ],[ 0.4   0.4   0.99  1.    0.86  0.56  0.  ],[ 0.34  0.34  0.34  1.    0.59  0.34  0.  ],[ 0.67  0.67  1.    1.    0.94  0.68  0.  ],[ 0.34  0.34  1.    1.    1.    0.76  0.  ],[ 0.36  0.36  0.32  1.    0.21  0.04  0.  ],[ 0.39  0.39  1.    1.    0.86  1.    0.  ],[ 0.65  0.66  0.66  1.    0.93  0.66 -0.  ],[ 0.64  0.65  0.57  1.    0.61  0.5  -0.06],[ 0.63  0.64  0.84  1.    0.94  0.81 -0.03],[ 0.83  0.83  0.58  1.    0.53  0.5   0.02],[ 0.65  0.64  0.02  1.    0.14  0.    0.02],[ 0.5   0.49  0.5   1.    0.53  0.5   0.02],[ 0.75  0.74  0.    1.    0.25  0.    0.  ],[61],"[-0.4300000071525574, 0.9900000095367432, 2.5]","[0.0, -0.01091896090656519, 0.0]","[-0.02387029305100441, 0.45488911867141724, 0.0]","[5.460644721984863, -0.32572266459465027, -8.296347618103027]",,,opening rhand
